Job_Title,Industry,Company_Size,Location,AI_Adoption_Level,Automation_Risk,Required_Skills,Salary_USD,Remote_Friendly,Job_Growth_Projection
Sales Manager,Energy,Medium,London,High,High,Data Analysis,75497.33812967277,1,Stable
AI Researcher,Entertainment,Small,Toronto,Medium,Low,Marketing,114881.07791724373,1,Stable
UX Designer,Transportation,Small,Paris,Low,Medium,UX/UI Design,73532.81590843154,1,Growth
Operations Manager,Tech0logy,Large,Singapore,Medium,Medium,Python,102574.31721600611,0,Stable
Operations Manager,Finance,Small,San Francisco,Low,Medium,Cybersecurity,65470.358203830205,0,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Low,Marketing,125421.91798621108,1,Decline
Operations Manager,Tech0logy,Small,Sydney,Low,Low,Sales,126752.1346612942,0,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Medium,Low,Sales,101820.43113119753,0,Growth
Operations Manager,Energy,Medium,Berlin,Low,High,Sales,129825.05203287043,1,Growth
AI Researcher,Tech0logy,Large,Berlin,Medium,High,UX/UI Design,97115.85949855324,0,Growth
Data Scientist,Education,Small,San Francisco,High,Low,Data Analysis,105370.34228299113,0,Stable
AI Researcher,Manufacturing,Small,Berlin,High,Medium,Python,115238.6775346307,0,Decline
AI Researcher,Education,Large,New York,Low,High,Sales,93594.36906196899,0,Growth
HR Manager,Telecommunications,Small,Sydney,Medium,Low,Communication,58952.450768298775,0,Stable
Data Scientist,Manufacturing,Small,New York,High,Medium,Cybersecurity,105779.26710468795,0,Decline
AI Researcher,Education,Medium,Paris,Medium,High,Project Management,80562.80811133073,0,Stable
HR Manager,Manufacturing,Large,Sydney,Medium,Medium,Communication,82049.40358,0,Decline
HR Manager,Manufacturing,Large,New York,Low,Medium,Python,95957.89833,1,Stable
Data Scientist,Retail,Large,Sydney,High,Medium,UX/UI Design,101325.61759434741,1,Decline
Sales Manager,Finance,Large,Paris,Low,Medium,Python,93002.69268012437,0,Decline
UX Designer,Finance,Medium,Dubai,Low,High,Project Management,102714.59072314618,0,Stable
Cybersecurity Analyst,Retail,Medium,San Francisco,High,High,Cybersecurity,75862.85731879607,1,Growth
UX Designer,Entertainment,Small,San Francisco,High,High,Project Management,89145.92410553433,0,Decline
Operations Manager,Healthcare,Small,Berlin,Medium,Low,JavaScript,106981.70900901742,0,Growth
Cybersecurity Analyst,Entertainment,Small,London,High,High,Cybersecurity,125455.82352873433,1,Stable
Operations Manager,Tech0logy,Small,Berlin,Medium,Medium,Python,132528.71177946418,1,Growth
AI Researcher,Tech0logy,Medium,Toronto,Medium,High,Sales,98659.53365455463,1,Growth
Software Engineer,Manufacturing,Large,New York,Medium,Medium,Python,106800.19653491215,0,Growth
Data Scientist,Education,Medium,Sydney,High,Low,Python,129631.58329630381,0,Growth
Cybersecurity Analyst,Education,Small,London,Low,Medium,Cybersecurity,76583.27926533011,1,Growth
Cybersecurity Analyst,Finance,Medium,Paris,Medium,Medium,JavaScript,102593.99705425167,1,Decline
AI Researcher,Transportation,Large,Toronto,Low,Medium,Python,105366.85898972292,0,Decline
Sales Manager,Entertainment,Large,Paris,Low,Low,Communication,118957.22872153489,1,Decline
HR Manager,Telecommunications,Medium,San Francisco,High,High,Marketing,67257.17238927555,0,Stable
AI Researcher,Energy,Medium,San Francisco,Low,High,Machine Learning,71211.88432398967,0,Growth
Product Manager,Education,Medium,Berlin,Low,Low,Machine Learning,90427.64422209412,1,Decline
HR Manager,Energy,Small,New York,High,Medium,Python,97554.55324643271,1,Stable
Data Scientist,Manufacturing,Medium,London,Medium,High,Communication,112457.27907467616,0,Decline
HR Manager,Energy,Medium,Singapore,Low,Low,Sales,100350.87551624542,1,Decline
Sales Manager,Telecommunications,Medium,Toronto,High,High,UX/UI Design,86971.73539779433,1,Growth
HR Manager,Retail,Large,Toronto,Low,Low,UX/UI Design,98329.22889512281,1,Stable
Data Scientist,Telecommunications,Large,Berlin,Low,Medium,Cybersecurity,96020.88952548904,1,Growth
Sales Manager,Energy,Small,San Francisco,Medium,High,Machine Learning,124900.32859975577,0,Growth
UX Designer,Telecommunications,Small,Berlin,Low,Low,Python,93313.17887137065,0,Decline
Cybersecurity Analyst,Healthcare,Large,Sydney,High,High,UX/UI Design,82338.33172894873,0,Growth
Cybersecurity Analyst,Manufacturing,Large,London,Low,High,Python,98992.18060143659,0,Stable
Operations Manager,Entertainment,Large,New York,Medium,High,Cybersecurity,93969.70638677065,1,Growth
UX Designer,Retail,Medium,Dubai,Medium,High,Machine Learning,58580.13288650656,1,Growth
UX Designer,Education,Medium,Tokyo,High,Low,Project Management,89686.95876755661,0,Growth
HR Manager,Tech0logy,Large,Tokyo,Medium,Medium,Marketing,87985.23509187989,0,Decline
Cybersecurity Analyst,Entertainment,Medium,Berlin,Low,Low,Marketing,79122.56268441367,1,Stable
Data Scientist,Tech0logy,Medium,Sydney,Medium,Low,UX/UI Design,110711.66575245945,0,Decline
Marketing Specialist,Manufacturing,Small,London,High,Low,Marketing,74286.40806776009,0,Decline
Marketing Specialist,Retail,Large,Singapore,Medium,Medium,Project Management,99112.37239049077,1,Decline
Sales Manager,Finance,Large,Tokyo,Medium,High,Python,87042.86000312539,0,Decline
Cybersecurity Analyst,Education,Medium,London,Medium,High,Cybersecurity,92153.90011293565,1,Decline
Cybersecurity Analyst,Healthcare,Large,New York,High,High,Project Management,98235.72582091735,1,Stable
Marketing Specialist,Finance,Small,Paris,Medium,Medium,Cybersecurity,63848.51232217997,0,Growth
Cybersecurity Analyst,Manufacturing,Small,Sydney,Medium,High,Cybersecurity,93833.21783469566,1,Decline
HR Manager,Entertainment,Small,San Francisco,Low,Medium,Machine Learning,135778.94979426413,0,Decline
Product Manager,Healthcare,Large,London,High,High,Python,58864.73308242552,1,Stable
Software Engineer,Telecommunications,Large,New York,Medium,High,Communication,88847.84072568991,0,Stable
UX Designer,Energy,Large,Singapore,High,Low,Marketing,112464.7864964764,0,Growth
Operations Manager,Healthcare,Large,Dubai,Medium,Medium,Communication,96032.38495907193,0,Stable
Sales Manager,Manufacturing,Large,San Francisco,Medium,Low,Machine Learning,103759.33904232067,1,Growth
Product Manager,Transportation,Small,Dubai,Medium,Low,Cybersecurity,42486.67977814768,1,Decline
Marketing Specialist,Energy,Medium,Singapore,Low,Low,UX/UI Design,101964.9875,0,Decline
UX Designer,Tech0logy,Small,New York,Low,Medium,Marketing,74766.23587532803,1,Growth
Cybersecurity Analyst,Education,Large,Tokyo,Low,Medium,Marketing,96197.54569166293,0,Stable
Operations Manager,Tech0logy,Small,Dubai,High,High,Python,89411.30538181018,0,Growth
Cybersecurity Analyst,Healthcare,Large,San Francisco,High,Low,JavaScript,135566.66058323265,1,Stable
Data Scientist,Tech0logy,Large,Berlin,Low,High,Data Analysis,100933.9064753175,0,Decline
Data Scientist,Manufacturing,Small,Toronto,High,Low,Data Analysis,87747.52341474428,1,Stable
Operations Manager,Telecommunications,Large,London,Medium,Medium,Data Analysis,59806.144814928906,0,Growth
Operations Manager,Entertainment,Medium,Tokyo,Medium,Medium,JavaScript,92422.93803699793,1,Growth
Marketing Specialist,Education,Large,Dubai,Medium,Medium,Python,106464.57756693645,0,Decline
Operations Manager,Tech0logy,Medium,Paris,Low,Low,JavaScript,88388.96216361554,0,Stable
HR Manager,Tech0logy,Medium,London,High,Medium,Data Analysis,79886.87280125119,1,Stable
Cybersecurity Analyst,Healthcare,Large,Berlin,Low,Low,Machine Learning,78548.26672307363,0,Stable
Product Manager,Entertainment,Small,Singapore,High,High,Project Management,100702.82870910641,0,Decline
AI Researcher,Finance,Medium,Toronto,Medium,Low,Cybersecurity,105187.75878618314,1,Stable
Operations Manager,Tech0logy,Small,New York,Low,High,JavaScript,117224.20230642238,0,Growth
Sales Manager,Manufacturing,Medium,Berlin,High,Low,Python,70100.00213579283,1,Stable
Data Scientist,Transportation,Large,Berlin,High,High,Python,100519.55116835234,0,Decline
HR Manager,Education,Large,Singapore,Medium,Medium,Communication,87565.92091164265,1,Stable
UX Designer,Tech0logy,Medium,Sydney,Low,High,Project Management,88155.31590733438,0,Stable
AI Researcher,Manufacturing,Large,Singapore,Low,Medium,UX/UI Design,98036.51708068003,0,Growth
Product Manager,Manufacturing,Medium,Sydney,Low,Medium,Marketing,98153.12507249895,0,Stable
AI Researcher,Education,Large,Sydney,Medium,High,Data Analysis,100575.36211583146,1,Growth
Operations Manager,Finance,Small,Tokyo,Low,Low,UX/UI Design,68850.57616,1,Growth
Marketing Specialist,Manufacturing,Large,Tokyo,Medium,Low,Communication,75003.77185667082,1,Decline
Data Scientist,Transportation,Small,San Francisco,Medium,Low,Data Analysis,119717.36551035367,1,Growth
Data Scientist,Manufacturing,Large,Dubai,Medium,Low,Project Management,85588.55065,0,Growth
UX Designer,Manufacturing,Small,Dubai,High,Low,Communication,96120.28796035793,0,Decline
Marketing Specialist,Manufacturing,Large,New York,Low,Medium,Data Analysis,111093.32624086371,1,Growth
Cybersecurity Analyst,Telecommunications,Small,Dubai,Low,Low,Project Management,99268.86144721638,1,Decline
Software Engineer,Telecommunications,Medium,Tokyo,Medium,Medium,Sales,100930.45261944078,1,Stable
HR Manager,Finance,Medium,San Francisco,Medium,Medium,UX/UI Design,107891.55358487513,0,Decline
Data Scientist,Tech0logy,Small,San Francisco,Low,Medium,UX/UI Design,47666.72478,1,Growth
Sales Manager,Manufacturing,Large,Sydney,Medium,High,Marketing,80200.99689678931,1,Decline
Data Scientist,Entertainment,Small,Singapore,Low,High,Project Management,99372.11592999184,0,Growth
AI Researcher,Tech0logy,Large,New York,High,Medium,JavaScript,117752.88614115314,0,Stable
Data Scientist,Finance,Medium,Sydney,Medium,High,Sales,91321.91119311546,1,Decline
Data Scientist,Retail,Large,Singapore,Low,Low,Machine Learning,73105.67076487809,0,Stable
Software Engineer,Tech0logy,Medium,Dubai,Medium,Low,Data Analysis,73638.27900778996,1,Growth
Software Engineer,Tech0logy,Large,Sydney,Low,Medium,Sales,107677.22406906149,0,Growth
Product Manager,Energy,Large,London,Low,Low,Project Management,85644.52835216226,1,Stable
Cybersecurity Analyst,Healthcare,Large,Dubai,Medium,Medium,Cybersecurity,89855.99908419327,1,Decline
Sales Manager,Energy,Small,Singapore,High,Medium,Data Analysis,102300.60387544638,1,Decline
Data Scientist,Transportation,Small,New York,Low,Low,Python,31969.52634612842,1,Growth
Data Scientist,Telecommunications,Medium,Singapore,Low,High,UX/UI Design,130007.35023016162,0,Stable
HR Manager,Telecommunications,Medium,Sydney,Low,Low,Project Management,75378.52329897878,0,Stable
Software Engineer,Healthcare,Small,Sydney,High,Low,Python,94838.72738947143,0,Decline
Sales Manager,Education,Medium,Berlin,High,Medium,Marketing,55906.05973007458,0,Decline
UX Designer,Education,Small,New York,Medium,Medium,Communication,81549.17779189924,1,Decline
Product Manager,Finance,Large,Paris,High,Medium,Machine Learning,114893.76092730193,1,Stable
Cybersecurity Analyst,Healthcare,Medium,Dubai,Medium,Medium,Machine Learning,51676.65640668242,0,Decline
Marketing Specialist,Tech0logy,Medium,San Francisco,Medium,High,Python,112524.00174378282,0,Decline
Cybersecurity Analyst,Education,Small,New York,High,High,UX/UI Design,84526.07807535231,0,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Medium,High,Marketing,99743.28880440384,0,Decline
Data Scientist,Entertainment,Medium,New York,High,Medium,Cybersecurity,103150.48826970221,0,Decline
Product Manager,Tech0logy,Large,New York,Medium,Medium,UX/UI Design,98828.42998981851,1,Stable
AI Researcher,Transportation,Medium,Singapore,High,Medium,Sales,72700.98696738348,1,Stable
Sales Manager,Manufacturing,Large,New York,High,High,Machine Learning,82709.01706929953,1,Growth
Marketing Specialist,Manufacturing,Small,Berlin,Medium,Medium,Sales,60768.876454983685,0,Decline
Software Engineer,Healthcare,Medium,Paris,Low,Low,Data Analysis,99835.92663,0,Growth
Product Manager,Finance,Large,Sydney,Medium,Low,JavaScript,124041.10308031851,0,Stable
Product Manager,Transportation,Small,Toronto,High,Medium,Project Management,53511.18226647075,0,Growth
Data Scientist,Education,Medium,San Francisco,Low,Low,Marketing,74767.08188,1,Stable
Operations Manager,Healthcare,Small,Sydney,Medium,Low,UX/UI Design,86364.49448234134,1,Growth
Product Manager,Education,Medium,Toronto,Medium,High,Machine Learning,93466.82847427108,0,Growth
HR Manager,Healthcare,Small,Paris,Medium,Medium,Sales,107583.52602868853,1,Decline
Marketing Specialist,Healthcare,Small,Paris,Low,Medium,Communication,86956.00039284666,1,Growth
Marketing Specialist,Healthcare,Large,San Francisco,High,High,Data Analysis,83680.82547,0,Decline
HR Manager,Finance,Small,San Francisco,Medium,Low,Project Management,112062.61412139481,0,Decline
UX Designer,Healthcare,Medium,Paris,Medium,Low,Project Management,103239.91134126611,0,Decline
HR Manager,Retail,Medium,Toronto,Medium,Medium,UX/UI Design,100779.55951402197,0,Decline
HR Manager,Entertainment,Large,New York,Medium,Low,Marketing,92250.31423176228,0,Growth
Marketing Specialist,Education,Medium,Dubai,Medium,High,Cybersecurity,109663.04421839718,0,Stable
Cybersecurity Analyst,Tech0logy,Medium,London,High,High,Communication,76873.81217539468,1,Stable
Marketing Specialist,Energy,Medium,Sydney,High,Medium,UX/UI Design,74146.11435627844,1,Stable
Operations Manager,Transportation,Small,Singapore,Medium,High,Sales,104922.01973738648,0,Growth
Data Scientist,Telecommunications,Small,Sydney,Low,High,JavaScript,57499.280615061834,1,Decline
AI Researcher,Finance,Medium,Singapore,High,Medium,Python,91843.59019272974,0,Stable
Cybersecurity Analyst,Tech0logy,Large,Toronto,Low,High,Cybersecurity,83668.83295474976,0,Growth
Software Engineer,Manufacturing,Small,Singapore,High,High,Marketing,61884.90538694088,0,Decline
AI Researcher,Retail,Large,San Francisco,Medium,High,Data Analysis,71374.64840567471,0,Stable
Data Scientist,Telecommunications,Medium,Dubai,High,Low,Cybersecurity,87820.47815409301,1,Decline
Operations Manager,Energy,Medium,Dubai,Medium,Medium,Machine Learning,110679.26512998046,0,Stable
Operations Manager,Tech0logy,Small,San Francisco,High,Medium,Marketing,76940.84017484378,1,Stable
Software Engineer,Telecommunications,Medium,Berlin,Medium,Medium,JavaScript,114267.62799809987,0,Stable
Cybersecurity Analyst,Tech0logy,Small,Toronto,Medium,Low,Machine Learning,91263.58455113033,0,Decline
UX Designer,Retail,Medium,Berlin,Medium,Low,Cybersecurity,116207.69404339942,0,Growth
HR Manager,Energy,Medium,Berlin,Medium,Medium,Python,77910.16782439903,1,Decline
Cybersecurity Analyst,Manufacturing,Small,Sydney,Low,Low,Python,89023.80823789263,0,Stable
UX Designer,Healthcare,Small,Paris,Medium,Medium,JavaScript,97369.67207,0,Decline
Operations Manager,Education,Small,Sydney,Low,Low,Project Management,86409.79074516977,0,Growth
Marketing Specialist,Manufacturing,Medium,Paris,Low,High,Communication,109060.48294290472,1,Decline
Data Scientist,Healthcare,Medium,London,Medium,High,Data Analysis,45848.72549419468,1,Growth
Software Engineer,Finance,Large,Singapore,Low,Medium,Project Management,138448.1107757988,1,Growth
Data Scientist,Entertainment,Small,Paris,High,Low,Python,107155.49213990325,0,Decline
Sales Manager,Transportation,Medium,San Francisco,Medium,Low,Python,86529.36341929967,1,Stable
Sales Manager,Transportation,Medium,Sydney,Low,High,Sales,78953.56652845311,0,Growth
Cybersecurity Analyst,Education,Small,Toronto,Medium,High,Machine Learning,72671.58777102892,1,Decline
Operations Manager,Energy,Large,Singapore,Medium,Low,Cybersecurity,102912.30948339474,1,Growth
Operations Manager,Retail,Small,London,Medium,Low,Data Analysis,109899.63337584707,0,Stable
HR Manager,Energy,Large,Paris,Low,Low,JavaScript,86749.47744,1,Decline
HR Manager,Retail,Medium,London,High,Low,Cybersecurity,112139.80825957005,0,Decline
HR Manager,Energy,Large,Toronto,High,Low,Sales,71854.79906477756,0,Decline
Marketing Specialist,Entertainment,Medium,Berlin,Low,Low,Python,68323.78300026328,1,Stable
AI Researcher,Finance,Small,Dubai,Medium,Medium,JavaScript,126266.82410491098,0,Growth
Product Manager,Finance,Small,Toronto,Low,Low,Python,101822.17227077085,0,Decline
AI Researcher,Healthcare,Small,Tokyo,Low,High,Data Analysis,117936.96403626655,1,Growth
Data Scientist,Telecommunications,Large,Toronto,Low,Medium,Machine Learning,72921.20583224614,1,Growth
AI Researcher,Finance,Medium,London,Medium,Low,Cybersecurity,71529.49216462541,0,Stable
Marketing Specialist,Finance,Small,San Francisco,Low,High,Cybersecurity,82827.81361084916,1,Decline
Data Scientist,Manufacturing,Small,Sydney,Medium,Medium,Project Management,73518.82316921977,0,Growth
AI Researcher,Manufacturing,Medium,San Francisco,Low,High,JavaScript,104107.30420456902,0,Decline
Marketing Specialist,Healthcare,Small,London,High,Low,Communication,74977.47886147109,1,Decline
Product Manager,Telecommunications,Medium,Sydney,Low,Low,Sales,66566.60283865419,1,Stable
AI Researcher,Education,Medium,Tokyo,Low,Low,Communication,92840.30824510465,1,Decline
Marketing Specialist,Manufacturing,Medium,Dubai,High,Low,Project Management,64200.276483495734,1,Decline
HR Manager,Education,Medium,Singapore,Medium,Medium,Data Analysis,54010.72137049221,0,Growth
Operations Manager,Tech0logy,Medium,London,Medium,Medium,Sales,92665.14467722556,0,Stable
HR Manager,Manufacturing,Large,Paris,Low,High,Machine Learning,55015.59914,1,Decline
Operations Manager,Entertainment,Small,London,High,Low,Communication,105505.58792590846,1,Growth
Software Engineer,Telecommunications,Large,London,Medium,High,Machine Learning,62093.32547494408,0,Stable
Software Engineer,Healthcare,Small,Sydney,Low,Medium,Communication,45186.52427160505,0,Stable
Software Engineer,Tech0logy,Large,New York,High,Low,Machine Learning,84124.06699718411,0,Growth
Product Manager,Telecommunications,Medium,Toronto,Medium,Low,Communication,92891.89006592969,0,Growth
HR Manager,Entertainment,Small,New York,Medium,Medium,Machine Learning,99829.50127363882,1,Growth
Operations Manager,Telecommunications,Small,Tokyo,High,Medium,Project Management,93440.31398031706,0,Growth
Marketing Specialist,Entertainment,Large,Paris,High,Medium,Marketing,68813.74757764515,0,Growth
Data Scientist,Entertainment,Large,Dubai,High,Medium,Sales,104261.22361853208,1,Decline
Marketing Specialist,Education,Small,Berlin,High,Medium,JavaScript,109202.77012959492,0,Decline
Data Scientist,Energy,Large,Tokyo,Low,Low,Data Analysis,65884.75743088922,0,Stable
Sales Manager,Tech0logy,Large,Berlin,High,Medium,UX/UI Design,86379.87722680772,1,Decline
Marketing Specialist,Telecommunications,Large,Berlin,Medium,Low,Python,84511.19946,1,Decline
AI Researcher,Retail,Medium,Dubai,Medium,Low,JavaScript,94407.63165576068,1,Decline
AI Researcher,Tech0logy,Medium,San Francisco,Low,Medium,Python,85901.52416451782,0,Growth
Cybersecurity Analyst,Energy,Large,New York,Medium,Medium,Sales,88642.44455854046,0,Stable
HR Manager,Tech0logy,Large,London,Medium,Low,JavaScript,102836.31060483382,1,Stable
Data Scientist,Finance,Medium,Singapore,High,Medium,Machine Learning,67722.93800797733,1,Stable
Data Scientist,Retail,Medium,Berlin,Medium,Medium,Machine Learning,104747.46270521649,0,Stable
HR Manager,Energy,Small,Paris,Low,Medium,UX/UI Design,112822.65463062502,1,Decline
Product Manager,Education,Small,Tokyo,High,High,Python,122682.69986977737,1,Decline
Cybersecurity Analyst,Telecommunications,Medium,San Francisco,High,Low,Data Analysis,47132.65351725282,1,Growth
Product Manager,Transportation,Large,Berlin,Low,High,Sales,86341.96685769563,0,Stable
Product Manager,Energy,Large,San Francisco,High,Medium,Machine Learning,50697.98851292822,0,Decline
Product Manager,Healthcare,Large,San Francisco,High,High,Marketing,41298.72620454353,0,Decline
HR Manager,Telecommunications,Large,Berlin,Low,Medium,Project Management,92881.86095214957,0,Growth
Product Manager,Energy,Small,Sydney,High,High,Project Management,82016.96414299277,0,Growth
AI Researcher,Finance,Medium,Toronto,Low,Medium,Communication,95997.01903541492,0,Growth
Software Engineer,Transportation,Large,Paris,Low,High,Data Analysis,99722.55380174631,1,Decline
Sales Manager,Finance,Small,London,Medium,High,Project Management,114957.91916215842,0,Decline
Data Scientist,Transportation,Large,London,Medium,High,Communication,91078.40851,0,Growth
Data Scientist,Healthcare,Medium,Paris,High,Low,Python,148467.11234638176,1,Stable
Sales Manager,Telecommunications,Small,Sydney,High,High,Machine Learning,96128.19709970425,0,Growth
HR Manager,Education,Medium,London,Low,Low,Machine Learning,126849.58089134423,0,Growth
Marketing Specialist,Finance,Medium,San Francisco,High,Medium,Marketing,43343.24398951503,1,Growth
HR Manager,Finance,Small,Dubai,Low,High,JavaScript,116994.7905910125,1,Growth
Data Scientist,Entertainment,Small,Tokyo,Low,Medium,Project Management,86384.7902,1,Decline
Data Scientist,Transportation,Small,New York,High,Medium,Python,51033.05481145457,0,Stable
Sales Manager,Manufacturing,Small,London,Low,High,Cybersecurity,98410.90218,1,Growth
